nth vaddr      bind type lib          name
68  0x00455d54 NONE FUNC OWL52t.dll   @TDC@DrawTextA$qpxcirx5TRectus
69  0x00455d58 NONE FUNC OWL52t.dll   @TApplication@MessageBox$qp6HWND__pxct2ui
70  0x00455d5c NONE FUNC OWL52t.dll   @TWindow@SetWindowPos$qp6HWND__iiiiui
71  0x00455d60 NONE FUNC OWL52t.dll   @TWindow@SetParent$qp7TWindow
72  0x00455d64 NONE FUNC OWL52t.dll   @TFont@$bctr$qpxciiiiiucucucucucucucuc
73  0x00455d68 NONE FUNC OWL52t.dll   @TWindow@SetDocTitle$qpxci
74  0x00455d6c NONE FUNC OWL52t.dll   @TWindow@SetCursor$qp7TModule6TResId
75  0x00455d70 NONE FUNC OWL52t.dll   @TFont@$bctr$qpx11tagLOGFONTA
76  0x00455d74 NONE FUNC OWL52t.dll   @TDC@$bdtr$qv
77  0x00455d78 NONE FUNC OWL52t.dll   @TWindow@SetCaption$qpxc
78  0x00455d7c NONE FUNC OWL52t.dll   @TEventHandler@SearchEntries$qp31%TResponseTableEntry$t7GENERIC%r24TEventHandler@TEventInfopqr31%TResponseTableEntry$t7GENERIC%r24TEventHandler@TEventInfo$4bool
79  0x00455d80 NONE FUNC OWL52t.dll   @TDC@$bctr$qp5HDC__
80  0x00455d84 NONE FUNC OWL52t.dll   @TApplication@$bctr$qpxcrp7TModulep14TAppDictionary
81  0x00455d88 NONE FUNC OWL52t.dll   @TWindow@RouteCommandEnable$qp6HWND__r15TCommandEnabler
82  0x00455d8c NONE FUNC OWL52t.dll   @B_LPARAM_Dispatch$qr7GENERICM7GENERICql$4booluil
83  0x00455d90 NONE FUNC OWL52t.dll   @TEventHandler@Find$qr24TEventHandler@TEventInfopqr31%TResponseTableEntry$t7GENERIC%r24TEventHandler@TEventInfo$4bool
84  0x00455d94 NONE FUNC OWL52t.dll   @TWindow@RemoveChild$qp7TWindow
85  0x00455d98 NONE FUNC OWL52t.dll   @TApplication@InitInstance$qv
86  0x00455d9c NONE FUNC OWL52t.dll   @B_B_Dispatch$qr7GENERICM7GENERICq4bool$4booluil
87  0x00455da0 NONE FUNC OWL52t.dll   @B_I2_Dispatch$qr7GENERICM7GENERICqi$4booluil
88  0x00455da4 NONE FUNC OWL52t.dll   @TWindow@PreProcessMsg$qr6tagMSG
89  0x00455da8 NONE FUNC OWL52t.dll   @TApplication@InitHPrevInstance
90  0x00455dac NONE FUNC OWL52t.dll   @TDib@$bctr$qpxc
91  0x00455db0 NONE FUNC OWL52t.dll   @TWindow@Paint$qr3TDC4boolr5TRect
92  0x00455db4 NONE FUNC OWL52t.dll   @TCreatedDC@$bdtr$qv
93  0x00455db8 NONE FUNC OWL52t.dll   @TWindow@Init$qp7TWindowpxcp7TModule
94  0x00455dbc NONE FUNC OWL52t.dll   @TWindow@IdleAction$ql
95  0x00455dc0 NONE FUNC OWL52t.dll   @TDib@$bctr$qp11HINSTANCE__6TResId
96  0x00455dc4 NONE FUNC OWL52t.dll   @TWindow@HoldFocusHWnd$qp6HWND__t1
97  0x00455dc8 NONE FUNC OWL52t.dll   @TWindow@HandleMessage$quiuil
98  0x00455dcc NONE FUNC OWL52t.dll   @TDialog@SetupWindow$qv
99  0x00455dd0 NONE FUNC OWL52t.dll   @TControl@$bdtr$qv
100 0x00455dd4 NONE FUNC OWL52t.dll   @TWindow@GetWindowRect$xqr5TRect
101 0x00455dd8 NONE FUNC OWL52t.dll   @TWindow@GetWindowClass$qr12tagWNDCLASSA
102 0x00455ddc NONE FUNC OWL52t.dll   @TDialog@PreProcessMsg$qr6tagMSG
103 0x00455de0 NONE FUNC OWL52t.dll   @TWindow@GetClientRect$xqr5TRect
104 0x00455de4 NONE FUNC OWL52t.dll   @TWindow@GetClassNameA$qv
105 0x00455de8 NONE FUNC OWL52t.dll   @TDialog@IdleAction$ql
106 0x00455dec NONE FUNC OWL52t.dll   @TClientDC@$bctr$qp6HWND__
107 0x00455df0 NONE FUNC OWL52t.dll   @TWindow@ForwardMessage$qp6HWND__4bool
108 0x00455df4 NONE FUNC OWL52t.dll   @TWindow@Find$qr24TEventHandler@TEventInfopqr31%TResponseTableEntry$t7GENERIC%r24TEventHandler@TEventInfo$4bool
109 0x00455df8 NONE FUNC OWL52t.dll   @TDialog@GetWindowClass$qr12tagWNDCLASSA
110 0x00455dfc NONE FUNC OWL52t.dll   @TWindow@Execute$qv
111 0x00455e00 NONE FUNC OWL52t.dll   @TWindow@EvVScroll$quiuip6HWND__
112 0x00455e04 NONE FUNC OWL52t.dll   @TDialog@GetClassNameA$qv
113 0x00455e08 NONE FUNC OWL52t.dll   @TCheckBox@SetCheck$qui
114 0x00455e0c NONE FUNC OWL52t.dll   @TApplication@InitHInstance
115 0x00455e10 NONE FUNC OWL52t.dll   @TWindow@EvSize$quir5TSize
116 0x00455e14 NONE FUNC OWL52t.dll   @TWindow@EvNotify$quir7TNotify
117 0x00455e18 NONE FUNC OWL52t.dll   @TDialog@Find$qr24TEventHandler@TEventInfopqr31%TResponseTableEntry$t7GENERIC%r24TEventHandler@TEventInfo$4bool
118 0x00455e1c NONE FUNC OWL52t.dll   @TWindow@EvHScroll$quiuip6HWND__
119 0x00455e20 NONE FUNC OWL52t.dll   @TWindow@EvCommandEnable$qr15TCommandEnabler
120 0x00455e24 NONE FUNC OWL52t.dll   @TDialog@Execute$qv
121 0x00455e28 NONE FUNC OWL52t.dll   @TCheckBox@$bdtr$qv
122 0x00455e2c NONE FUNC OWL52t.dll   @TWindow@EvCommand$quip6HWND__ui
